2025-07-03 09:23:52 | INFO     | SAT_Generator | ================================================================================
2025-07-03 09:23:52 | INFO     | SAT_Generator | SAT Math Task Generator - Logging Initialized
2025-07-03 09:23:52 | INFO     | SAT_Generator | Detailed logs: logs/generation_detailed_20250703_092352.log
2025-07-03 09:23:52 | INFO     | SAT_Generator | Error logs: logs/generation_errors_20250703_092352.log
2025-07-03 09:23:52 | INFO     | SAT_Generator | Progress logs: logs/generation_progress_20250703_092352.log
2025-07-03 09:23:52 | INFO     | SAT_Generator | ================================================================================
2025-07-03 09:23:52 | INFO     | SAT_Generator | Initializing SAT Math Task Generator
2025-07-03 09:23:52 | INFO     | SAT_Generator | Project ID: studyhall-dev-383420
2025-07-03 09:23:52 | INFO     | SAT_Generator | Model: gemini-2.5-pro
2025-07-03 09:23:52 | INFO     | SAT_Generator | Max workers: 1
2025-07-03 09:23:52 | INFO     | SAT_Generator | Reading tasks from CSV file: SAT Questions - SAT_Math_No_Graph.csv
2025-07-03 09:23:52 | INFO     | SAT_Generator | Filtering out unused columns: ['explanation_latex', 'option_A', 'option_B', 'option_C', 'option_D', 'question_text_plain']
2025-07-03 09:23:53 | INFO     | SAT_Generator | Successfully read tasks from SAT Questions - SAT_Math_No_Graph.csv
2025-07-03 09:23:53 | DEBUG    | SAT_Generator | Skill loaded - Linear functions: 121 tasks
2025-07-03 09:23:53 | DEBUG    | SAT_Generator | Skill loaded - Linear equations in two variables: 96 tasks
2025-07-03 09:23:53 | DEBUG    | SAT_Generator | Skill loaded - Systems of two linear equations in two variables: 96 tasks
2025-07-03 09:23:53 | DEBUG    | SAT_Generator | Skill loaded - Linear inequalities in one or two variables: 60 tasks
2025-07-03 09:23:53 | DEBUG    | SAT_Generator | Skill loaded - Linear equations in one variable: 96 tasks
2025-07-03 09:23:53 | DEBUG    | SAT_Generator | Skill loaded - Nonlinear functions: 170 tasks
2025-07-03 09:23:53 | DEBUG    | SAT_Generator | Skill loaded - Nonlinear equations in one variable and systems of equations in two variables: 132 tasks
2025-07-03 09:23:53 | DEBUG    | SAT_Generator | Skill loaded - Equivalent expressions: 98 tasks
2025-07-03 09:23:53 | DEBUG    | SAT_Generator | Skill loaded - Inference from sample statistics and margin of error: 23 tasks
2025-07-03 09:23:53 | DEBUG    | SAT_Generator | Skill loaded - Ratios, rates, proportional relationships, and units: 82 tasks
2025-07-03 09:23:53 | DEBUG    | SAT_Generator | Skill loaded - Probability and conditional probability: 34 tasks
2025-07-03 09:23:53 | DEBUG    | SAT_Generator | Skill loaded - Percentages: 73 tasks
2025-07-03 09:23:53 | DEBUG    | SAT_Generator | Skill loaded - One-variable data: Distributions and measures of center and spread: 45 tasks
2025-07-03 09:23:53 | DEBUG    | SAT_Generator | Skill loaded - Two-variable data: Models and scatterplots: 31 tasks
2025-07-03 09:23:53 | DEBUG    | SAT_Generator | Skill loaded - Evaluating statistical claims: Observational studies and experiments: 9 tasks
2025-07-03 09:23:53 | DEBUG    | SAT_Generator | Skill loaded - Lines, angles, and triangles: 47 tasks
2025-07-03 09:23:53 | DEBUG    | SAT_Generator | Skill loaded - Area and volume: 61 tasks
2025-07-03 09:23:53 | DEBUG    | SAT_Generator | Skill loaded - Right triangles and trigonometry: 34 tasks
2025-07-03 09:23:53 | DEBUG    | SAT_Generator | Skill loaded - Circles: 37 tasks
2025-07-03 09:23:53 | INFO     | SAT_Generator | Starting batch generation for skill: Linear functions-Easy
2025-07-03 09:23:54 | DEBUG    | SAT_Generator | Generating batch (attempt 1/5) for skill: Linear functions-Easy
2025-07-03 09:25:22 | INFO     | SAT_Generator | [Linear functions-Easy] Token usage - Input: 3580, Output: 3973, Total: 13958
2025-07-03 09:25:22 | DEBUG    | SAT_Generator | Processing 10 generated tasks
2025-07-03 09:25:22 | INFO     | SAT_Generator | Successfully processed 10 tasks from 10 raw tasks
2025-07-03 09:25:22 | INFO     | SAT_Generator | [Linear functions-Easy] Successfully generated 10 tasks
2025-07-03 09:25:24 | INFO     | SAT_Generator | Starting batch generation for skill: Linear functions-Easy
2025-07-03 09:25:25 | DEBUG    | SAT_Generator | Generating batch (attempt 1/5) for skill: Linear functions-Easy
2025-07-03 09:26:39 | INFO     | SAT_Generator | [Linear functions-Easy] Token usage - Input: 4128, Output: 4233, Total: 12444
2025-07-03 09:26:39 | DEBUG    | SAT_Generator | Processing 10 generated tasks
2025-07-03 09:26:39 | INFO     | SAT_Generator | Successfully processed 10 tasks from 10 raw tasks
2025-07-03 09:26:39 | INFO     | SAT_Generator | [Linear functions-Easy] Successfully generated 10 tasks
2025-07-03 09:26:41 | INFO     | SAT_Generator | Starting batch generation for skill: Linear functions-Easy
2025-07-03 09:26:42 | DEBUG    | SAT_Generator | Generating batch (attempt 1/5) for skill: Linear functions-Easy
2025-07-03 09:28:36 | INFO     | SAT_Generator | [Linear functions-Easy] Token usage - Input: 4636, Output: 4332, Total: 17683
2025-07-03 09:28:36 | DEBUG    | SAT_Generator | Processing 10 generated tasks
