test,domain,skill,difficulty,question_text_plain,question_text_latex,figure_description,option_A,option_B,option_C,option_D,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,explanation_plain,explanation_latex
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables ,Easy,"The graph of a system of a linear equation and a nonlinear equation is shown. What is the solution x,y to this system?","The graph of a system of a linear equation and a nonlinear equation is shown. What is the solution $\left(x , y\right)$ to this system?",Graph of a system of a curve and a line in the x y plane with the origin labeled O. The x axis ranges from negative 2 to 9 in increments of 1. The y axis ranges from negative 2 to 9 in increments of 1. Refer to long description.,"(0,0)","(0,2)","(2,4)","(4,0)","$( 0 , 0 )$","$( 0 , 2 )$","$( 2 , 4 )$","$( 4 , 0 )$",C,,"Choice C is correct. The solution to the system of two equations corresponds to the point where the graphs of the equations intersect. The graphs of the linear equation and the nonlinear equation shown intersect at the point 2,4. Thus, the solution to the system is 2,4. Choice A is incorrect and may result from conceptual or calculation errors. Choice B is incorrect and may result from conceptual or calculation errors. Choice D is incorrect and may result from conceptual or calculation errors.","Choice C is correct. The solution to the system of two equations corresponds to the point where the graphs of the equations intersect. The graphs of the linear equation and the nonlinear equation shown intersect at the point $\left(2 , 4\right)$. Thus, the solution to the system is $\left(2 , 4\right)$. Choice A is incorrect and may result from conceptual or calculation errors. Choice B is incorrect and may result from conceptual or calculation errors. Choice D is incorrect and may result from conceptual or calculation errors."
Math,Advanced Math,Nonlinear functions,Easy,What is the y-intercept of the graph shown?,What is the y-intercept of the graph shown?,Graph of a curve in the x y plane with the origin labeled O. The x axis ranges from negative 5 to 5 in increments of 1. The y axis ranges from 0 to 10 in increments of 1. Refer to long description.,"(0,0)","(0,2)","(2,0)","(2,2)","$( 0 , 0 )$","$( 0 , 2 )$","$( 2 , 0 )$","$( 2 , 2 )$",B,,"Choice B is correct. The y-intercept of a graph in the xy-plane is the point at which the graph crosses the y-axis. The graph shown crosses the y-axis at the point 0,2. Therefore, the y-intercept of the graph shown is 0,2. Choice A is incorrect and may result from conceptual or calculation errors. Choice C is incorrect and may result from conceptual or calculation errors. Choice D is incorrect and may result from conceptual or calculation errors.","Choice B is correct. The y-intercept of a graph in the xy-plane is the point at which the graph crosses the y-axis. The graph shown crosses the y-axis at the point $\left(0 , 2\right)$. Therefore, the y-intercept of the graph shown is $\left(0 , 2\right)$. Choice A is incorrect and may result from conceptual or calculation errors. Choice C is incorrect and may result from conceptual or calculation errors. Choice D is incorrect and may result from conceptual or calculation errors."
Math,Advanced Math,Nonlinear functions,Easy,What is the x-intercept of the graph shown?,What is the x-intercept of the graph shown?,"Graph of a parabola in the x y plane with the origin labeled O. The x axis ranges from 0 to 10 in increments of 1, with values marked every 2 grid lines. The y axis ranges from 0 to 10 in increments of 1, with values marked every 2 grid lines. Refer to long description.","(-5,0)","(5,0)","(-4,0)","(4,0)","$( - 5 , 0 )$","$( 5 , 0 )$","$( - 4 , 0 )$","$( 4 , 0 )$",D,,"Choice D is correct. The x-intercept of the graph shown is the point x,y on the graph where y=0. At y=0, the corresponding value of x is 4. Therefore, the x-intercept of the graph shown is 4,0. Choice A is incorrect. This is the x-intercept of a graph in the xy-plane that intersects the x-axis at x=-5, not x=4. Choice B is incorrect. This is the x-intercept of a graph in the xy-plane that intersects the x-axis at x=5, not x=4. Choice C is incorrect. This is the x-intercept of a graph in the xy-plane that intersects the x-axis at x=-4, not x=4.","Choice D is correct. The x-intercept of the graph shown is the point $\left(x , y\right)$ on the graph where $y = 0$. At $y = 0$, the corresponding value of $x$ is $4$. Therefore, the x-intercept of the graph shown is $\left(4 , 0\right)$. Choice A is incorrect. This is the x-intercept of a graph in the xy-plane that intersects the x-axis at $x = - 5$, not $x = 4$. Choice B is incorrect. This is the x-intercept of a graph in the xy-plane that intersects the x-axis at $x = 5$, not $x = 4$. Choice C is incorrect. This is the x-intercept of a graph in the xy-plane that intersects the x-axis at $x = - 4$, not $x = 4$."
Math,Advanced Math,Nonlinear functions,Medium,"An object was launched upward from a platform. The graph shown models the height above ground, y, in meters, of the object x seconds after it was launched. For which of the following intervals of time was the height of the object increasing for the entire interval?","An object was launched upward from a platform. The graph shown models the height above ground, $y$, in meters, of the object $x$ seconds after it was launched. For which of the following intervals of time was the height of the object increasing for the entire interval?","Graph of a parabola in the x y plane with the origin labeled O. The x axis is labeled Time, in seconds. It ranges from 0 to 10. The y axis is labeled Height above ground, in meters. It ranges from 0 to 60. Refer to long description.",From x=0 to x=2,From x=0 to x=4,From x=2 to x=3,From x=3 to x=4,From $x = 0$ to $x = 2$,From $x = 0$ to $x = 4$,From $x = 2$ to $x = 3$,From $x = 3$ to $x = 4$,A,,"Choice A is correct. It's given that the variable y represents the height, in meters, of the object above the ground. The graph shows that the height of the object was increasing from x=0 to x=2, and decreasing from x=2 to x=4. Therefore, the height of the object was increasing for the entire interval of time from x=0 to x=2. Choice B is incorrect. The height of the object wasn't increasing for this entire interval of time, as it was decreasing from x=2 to x=4. Choice C is incorrect. The height of the object was decreasing, not increasing, for this entire interval of time. Choice D is incorrect. The height of the object was decreasing, not increasing, for this entire interval of time.","Choice A is correct. It's given that the variable $y$ represents the height, in meters, of the object above the ground. The graph shows that the height of the object was increasing from $x = 0$ to $x = 2$, and decreasing from $x = 2$ to $x = 4$. Therefore, the height of the object was increasing for the entire interval of time from $x = 0$ to $x = 2$. Choice B is incorrect. The height of the object wasn't increasing for this entire interval of time, as it was decreasing from $x = 2$ to $x = 4$. Choice C is incorrect. The height of the object was decreasing, not increasing, for this entire interval of time. Choice D is incorrect. The height of the object was decreasing, not increasing, for this entire interval of time."
Math,Advanced Math,Nonlinear functions,Easy,The graph of y=fx is shown in the xy-plane. What is the value of f0?,The graph of $y = f \left(x\right)$ is shown in the xy-plane. What is the value of $f \left(0\right)$?,"Graph of 2 curves in the x y plane with the origin labeled O. The x axis ranges from negative 8 to 8 in increments of 1, with values marked every 2 grid lines. The y axis ranges from negative 8 to 8 in increments of 1. Refer to long description.",-3,0,35,3,$- 3$,$0$,$\frac{3}{5}$,$3$,D,,"Choice D is correct. Because the graph of y=fx is shown, the value of f0 is the value of y on the graph that corresponds with x=0. When x=0, the corresponding value of y is 3. Therefore, the value of f0 is 3. Choice A is incorrect and may result from conceptual errors. Choice B is incorrect and may result from conceptual errors. Choice C is incorrect and may result from conceptual errors.","Choice D is correct. Because the graph of $y = f \left(x\right)$ is shown, the value of $f \left(0\right)$ is the value of $y$ on the graph that corresponds with $x = 0$. When $x = 0$, the corresponding value of $y$ is $3$. Therefore, the value of $f \left(0\right)$ is $3$. Choice A is incorrect and may result from conceptual errors. Choice B is incorrect and may result from conceptual errors. Choice C is incorrect and may result from conceptual errors."
Math,Advanced Math,Nonlinear functions,Medium,"The graph gives the estimated number of catalogs y, in thousands, a company sent to its customers at the end of each year, where x represents the number of years since the end of 1992, where 0≤x≤10. Which statement is the best interpretation of the y-intercept in this context?","The graph gives the estimated number of catalogs $y$, in thousands, a company sent to its customers at the end of each year, where $x$ represents the number of years since the end of $1992$, where $0 \leq x \leq 10$. Which statement is the best interpretation of the y-intercept in this context?",Graph of a curve in the x y plane with the origin labeled O. The x axis ranges from 0 to 10 in increments of 1. The y axis ranges from 0 to 10 in increments of 1. Refer to long description.,"The estimated total number of catalogs the company sent to its customers during the first 10 years was 9,000.",The estimated total number of catalogs the company sent to its customers from the end of 1992 to the end of 2002 was 90.,The estimated number of catalogs the company sent to its customers at the end of 1992 was 9.,"The estimated number of catalogs the company sent to its customers at the end of 1992 was 9,000.","The estimated total number of catalogs the company sent to its customers during the first $10$ years was $9,000$.",The estimated total number of catalogs the company sent to its customers from the end of $1992$ to the end of $2002$ was $90$.,The estimated number of catalogs the company sent to its customers at the end of $1992$ was $9$.,"The estimated number of catalogs the company sent to its customers at the end of $1992$ was $9,000$.",D,,"Choice D is correct. The y-intercept of the graph is the point at which the graph crosses the y-axis, or the point for which the value of x is 0. Therefore, the y-intercept of the given graph is the point 0,9. It's given that x represents the number of years since the end of 1992. Therefore, x=0 represents 0 years since the end of 1992, which is the same as the end of 1992. It's also given that y represents the estimated number of catalogs, in thousands, that the company sent to its customers at the end of the year. Therefore, y=9 represents 9,000 catalogs. It follows that the y-intercept 0,9 means that the estimated number of catalogs the company sent to its customers at the end of 1992 was 9,000. Choice A is incorrect and may result from conceptual or calculation errors. Choice B is incorrect and may result from conceptual or calculation errors. Choice C is incorrect and may result from conceptual or calculation errors.","Choice D is correct. The y-intercept of the graph is the point at which the graph crosses the y-axis, or the point for which the value of $x$ is $0$. Therefore, the y-intercept of the given graph is the point $\left(0 , 9\right)$. It's given that $x$ represents the number of years since the end of $1992$. Therefore, $x = 0$ represents $0$ years since the end of $1992$, which is the same as the end of $1992$. It's also given that $y$ represents the estimated number of catalogs, in thousands, that the company sent to its customers at the end of the year. Therefore, $y = 9$ represents $9,000$ catalogs. It follows that the y-intercept $\left(0 , 9\right)$ means that the estimated number of catalogs the company sent to its customers at the end of $1992$ was $9,000$. Choice A is incorrect and may result from conceptual or calculation errors. Choice B is incorrect and may result from conceptual or calculation errors. Choice C is incorrect and may result from conceptual or calculation errors."
Math,Advanced Math,Nonlinear functions,Easy,The graph shown models the number of residents of a certain city x years after 2010. How many residents does this model estimate the city had in 2010?,The graph shown models the number of residents of a certain city $x$ years after $2010$. How many residents does this model estimate the city had in $2010$?,"Graph of a curve in the x y plane with the origin labeled O. The x axis is labeled Years after 2010. It ranges from 0 to 10. The y axis is labeled Number of residents. It ranges from 0 to 40,000. Refer to long description.",0,"2,000","20,000","25,000",$0$,"$2,000$","$20,000$","$25,000$",C,,"Choice C is correct. It's given that x represents years after 2010. Therefore, 2010 is represented by x=0. On the model shown, the point with an x-coordinate of 0 has a y-coordinate of 20,000. Thus, the model estimates that in 2010, the city had 20,000 residents. Choice A is incorrect. This is the value of x that represents the year 2010. Choice B is incorrect and may result from conceptual or calculation errors. Choice D is incorrect. This is approximately the number of residents the model estimates the city had in 2014, not 2010.","Choice C is correct. It's given that $x$ represents years after $2010$. Therefore, $2010$ is represented by $x = 0$. On the model shown, the point with an x-coordinate of $0$ has a y-coordinate of $20,000$. Thus, the model estimates that in $2010$, the city had $20,000$ residents. Choice A is incorrect. This is the value of $x$ that represents the year $2010$. Choice B is incorrect and may result from conceptual or calculation errors. Choice D is incorrect. This is approximately the number of residents the model estimates the city had in $2014$, not $2010$."
Math,Advanced Math,Nonlinear functions,Easy,What is the x-coordinate of the x-intercept of the graph shown?,What is the x-coordinate of the x-intercept of the graph shown?,Graph of a curve in the x y plane with the origin labeled O. The x axis ranges from negative 8 to 8. The y axis ranges from negative 8 to 8. Refer to long description.,,,,,,,,,6,6,"The correct answer is 6. An x-intercept of a graph is a point on the graph where it intersects the x-axis, or where the value of y is 0. The graph shown intersects the x-axis at the point 6,0. Therefore, the x-coordinate of the x-intercept of the graph shown is 6.","The correct answer is $6$. An x-intercept of a graph is a point on the graph where it intersects the x-axis, or where the value of $y$ is $0$. The graph shown intersects the x-axis at the point $\left(6 , 0\right)$. Therefore, the x-coordinate of the x-intercept of the graph shown is $6$."
Math,Advanced Math,Nonlinear functions,Easy,What is the x-intercept of the graph shown?,What is the x-intercept of the graph shown?,Graph of a curve in the x y plane with the origin labeled O. The x axis ranges from negative 10 to 10. The y axis ranges from negative 6 to 12. Refer to long description.,"(-5,0)","(5,0)","(-2,0)","(2,0)","$( - 5 , 0 )$","$( 5 , 0 )$","$( - 2 , 0 )$","$( 2 , 0 )$",B,,"Choice B is correct. An x-intercept of a graph in the xy-plane is a point at which the graph crosses the x-axis. The graph shown crosses the x-axis at the point 5,0. Therefore, the x-intercept of the graph shown is 5,0. Choice A is incorrect and may result from conceptual or calculation errors. Choice C is incorrect and may result from conceptual or calculation errors. Choice D is incorrect and may result from conceptual or calculation errors.","Choice B is correct. An x-intercept of a graph in the xy-plane is a point at which the graph crosses the x-axis. The graph shown crosses the x-axis at the point $\left(5 , 0\right)$. Therefore, the x-intercept of the graph shown is $\left(5 , 0\right)$. Choice A is incorrect and may result from conceptual or calculation errors. Choice C is incorrect and may result from conceptual or calculation errors. Choice D is incorrect and may result from conceptual or calculation errors."
Math,Advanced Math,Nonlinear functions,Medium,"For the quadratic function f, the table shows three values of x and their corresponding values of fx. Which equation defines f?","| $x$ | $f \left(x\right)$ | | --- | --- | | $- 1$ | $10$ | | $0$ | $14$ | | $1$ | $20$ | For the quadratic function $f$, the table shows three values of $x$ and their corresponding values of $f \left(x\right)$. Which equation defines $f$?",Table with 4 rows and 2 columns: 'x' and 'f left parenthesis x right parenthesis'; Table with 3 rows and 2 columns: 'negative 1' and '10',f(x)=3x2+3x+14,f(x)=5x2+x+14,f(x)=9x2-x+14,f(x)=x2+5x+14,$f ( x ) = 3 x^{2} + 3 x + 14$,$f ( x ) = 5 x^{2} + x + 14$,$f ( x ) = 9 x^{2} - x + 14$,$f ( x ) = x^{2} + 5 x + 14$,D,,"Choice D is correct. The equation of a quadratic function can be written in the form fx=ax-h2+k, where a, h, and k are constants. It’s given in the table that when x=-1, the corresponding value of fx is 10. Substituting -1 for x and 10 for fx in the equation fx=ax-h2+k gives 10=a-1-h2+k, which is equivalent to 10=a1+2h+h2+k, or 10=a+2ah+ah2+k. It’s given in the table that when x=0, the corresponding value of fx is 14. Substituting 0 for x and 14 for fx in the equation fx=ax-h2+k gives 14=a0-h2+k, or 14=ah2+k. It’s given in the table that when x=1, the corresponding value of fx is 20. Substituting 1 for x and 20 for fx in the equation fx=ax-h2+k gives 20=a1-h2+k, which is equivalent to 20=a1-2h+h2+k, or 20=a-2ah+ah2+k. Adding 20=a-2ah+ah2+k to the equation 10=a+2ah+ah2+k gives 30=2a+2ah2+2k. Dividing both sides of this equation by 2 gives 15=a+ah2+k. Since 14=ah2+k, substituting 14 for ah2+k into the equation 15=a+ah2+k gives 15=a+14. Subtracting 14 from both sides of this equation gives a=1. Substituting 1 for a in the equations 14=ah2+k and 20=ah2-2ah+a+k gives 14=h2+k and 20=1-2h+h2+k, respectively. Since 14=h2+k, substituting 14 for h2+k in the equation 20=1-2h+h2+k gives 20=1-2h+14, or 20=15-2h. Subtracting 15 from both sides of this equation gives 5=-2h. Dividing both sides of this equation by -2 gives -52=h. Substituting -52 for h into the equation 14=h2+k gives 14=-522+k, or 14=254+k. Subtracting 254 from both sides of this equation gives 314=k. Substituting 1 for a, -52 for h, and 314 for k in the equation fx=ax-h2+k gives fx=x+522+314, which is equivalent to fx=x2+5x+254+314, or fx=x2+5x+14. Therefore, fx=x2+5x+14 defines f. Choice A is incorrect. If fx=3x2+3x+14, then when x=-1, the corresponding value of fx is 14, not 10. Choice B is incorrect. If fx=5x2+x+14, then when x=-1, the corresponding value of fx is 18, not 10. Choice C is incorrect. If fx=9x2-x+14, then when x=-1, the corresponding value of fx is 24, not 10, and when x=1, the corresponding value of fx is 22, not 20.","Choice D is correct. The equation of a quadratic function can be written in the form $f \left(x\right) = a \left(x - h\right)^{2} + k$, where $a$, $h$, and $k$ are constants. It’s given in the table that when $x = - 1$, the corresponding value of $f \left(x\right)$ is $10$. Substituting $- 1$ for $x$ and $10$ for $f \left(x\right)$ in the equation $f \left(x\right) = a \left(x - h\right)^{2} + k$ gives $10 = a \left(- 1 - h\right)^{2} + k$, which is equivalent to $10 = a \left(1 + 2 h + h^{2}\right) + k$, or $10 = a + 2 a h + a h^{2} + k$. It’s given in the table that when $x = 0$, the corresponding value of $f \left(x\right)$ is $14$. Substituting $0$ for $x$ and $14$ for $f \left(x\right)$ in the equation $f \left(x\right) = a \left(x - h\right)^{2} + k$ gives $14 = a \left(0 - h\right)^{2} + k$, or $14 = a h^{2} + k$. It’s given in the table that when $x = 1$, the corresponding value of $f \left(x\right)$ is $20$. Substituting $1$ for $x$ and $20$ for $f \left(x\right)$ in the equation $f \left(x\right) = a \left(x - h\right)^{2} + k$ gives $20 = a \left(1 - h\right)^{2} + k$, which is equivalent to $20 = a \left(1 - 2 h + h^{2}\right) + k$, or $20 = a - 2 a h + a h^{2} + k$. Adding $20 = a - 2 a h + a h^{2} + k$ to the equation $10 = a + 2 a h + a h^{2} + k$ gives $30 = 2 a + 2 a h^{2} + 2 k$. Dividing both sides of this equation by $2$ gives $15 = a + a h^{2} + k$. Since $14 = a h^{2} + k$, substituting $14$ for $a h^{2} + k$ into the equation $15 = a + a h^{2} + k$ gives $15 = a + 14$. Subtracting $14$ from both sides of this equation gives $a = 1$. Substituting $1$ for $a$ in the equations $14 = a h^{2} + k$ and $20 = a h^{2} - 2 a h + a + k$ gives $14 = h^{2} + k$ and $20 = 1 - 2 h + h^{2} + k$, respectively. Since $14 = h^{2} + k$, substituting $14$ for $h^{2} + k$ in the equation $20 = 1 - 2 h + h^{2} + k$ gives $20 = 1 - 2 h + 14$, or $20 = 15 - 2 h$. Subtracting $15$ from both sides of this equation gives $5 = - 2 h$. Dividing both sides of this equation by $- 2$ gives $- \frac{5}{2} = h$. Substituting $- \frac{5}{2}$ for $h$ into the equation $14 = h^{2} + k$ gives $14 = \left(- \frac{5}{2}\right)^{2} + k$, or $14 = \frac{25}{4} + k$. Subtracting $\frac{25}{4}$ from both sides of this equation gives $\frac{31}{4} = k$. Substituting $1$ for $a$, $- \frac{5}{2}$ for $h$, and $\frac{31}{4}$ for $k$ in the equation $f \left(x\right) = a \left(x - h\right)^{2} + k$ gives $f \left(x\right) = \left(x + \frac{5}{2}\right)^{2} + \frac{31}{4}$, which is equivalent to $f \left(x\right) = x^{2} + 5 x + \frac{25}{4} + \frac{31}{4}$, or $f \left(x\right) = x^{2} + 5 x + 14$. Therefore, $f \left(x\right) = x^{2} + 5 x + 14$ defines $f$. Choice A is incorrect. If $f \left(x\right) = 3 x^{2} + 3 x + 14$, then when $x = - 1$, the corresponding value of $f \left(x\right)$ is $14$, not $10$. Choice B is incorrect. If $f \left(x\right) = 5 x^{2} + x + 14$, then when $x = - 1$, the corresponding value of $f \left(x\right)$ is $18$, not $10$. Choice C is incorrect. If $f \left(x\right) = 9 x^{2} - x + 14$, then when $x = - 1$, the corresponding value of $f \left(x\right)$ is $24$, not $10$, and when $x = 1$, the corresponding value of $f \left(x\right)$ is $22$, not $20$."
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables ,Easy,"The graph of a system of a linear equation and a nonlinear equation is shown. What is the solution x,y to this system?","The graph of a system of a linear equation and a nonlinear equation is shown. What is the solution $\left(x , y\right)$ to this system?",Graph of a system of a curve and a line in the x y plane with the origin labeled O. The x axis ranges from negative 2 to 9. The y axis ranges from negative 2 to 9. Refer to long description.,"(0,0)","(0,4)","(4,5)","(5,0)","$( 0 , 0 )$","$( 0 , 4 )$","$( 4 , 5 )$","$( 5 , 0 )$",C,,"Choice C is correct. The solution to the system of two equations corresponds to the point where the graphs of the equations intersect. The graphs of the linear equation and the nonlinear equation shown intersect at the point 4,5. Thus, the solution to the system is 4,5. Choice A is incorrect and may result from conceptual or calculation errors. Choice B is incorrect and may result from conceptual or calculation errors. Choice D is incorrect and may result from conceptual or calculation errors.","Choice C is correct. The solution to the system of two equations corresponds to the point where the graphs of the equations intersect. The graphs of the linear equation and the nonlinear equation shown intersect at the point $\left(4 , 5\right)$. Thus, the solution to the system is $\left(4 , 5\right)$. Choice A is incorrect and may result from conceptual or calculation errors. Choice B is incorrect and may result from conceptual or calculation errors. Choice D is incorrect and may result from conceptual or calculation errors."
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables ,Easy,"The graph of a system of an absolute value function and a linear function is shown. What is the solution x,y to this system of two equations?","The graph of a system of an absolute value function and a linear function is shown. What is the solution $\left(x , y\right)$ to this system of two equations?",Graph of a system of an absolute value function and a linear function in the x y plane with the origin labeled O. The x axis ranges from negative 3 to 10. The y axis ranges from 0 to 10. Refer to long description.,"(-1,5)","(0,4)","(1,5)","(4,2)","$( - 1 , 5 )$","$( 0 , 4 )$","$( 1 , 5 )$","$( 4 , 2 )$",C,,"Choice C is correct. The solution to the system of two equations corresponds to the point where the graphs of the equations intersect. The graphs of the linear function and the absolute value function shown intersect at the point 1,5. Thus, the solution to the system is 1,5. Choice A is incorrect and may result from conceptual or calculation errors. Choice B is incorrect. This is the y-intercept of the graph of the linear function. Choice D is incorrect. This is the vertex of the graph of the absolute value function.","Choice C is correct. The solution to the system of two equations corresponds to the point where the graphs of the equations intersect. The graphs of the linear function and the absolute value function shown intersect at the point $\left(1 , 5\right)$. Thus, the solution to the system is $\left(1 , 5\right)$. Choice A is incorrect and may result from conceptual or calculation errors. Choice B is incorrect. This is the y-intercept of the graph of the linear function. Choice D is incorrect. This is the vertex of the graph of the absolute value function."
Math,Advanced Math,Nonlinear functions,Easy,What is the y-intercept of the graph shown?,What is the y-intercept of the graph shown?,"Graph of a curve in the x y plane with the origin labeled O. The x axis ranges from negative 10 to 10 in increments of 1, with values marked every 2 grid lines. The y axis ranges from 0 to 14 in increments of 1, with values marked every 2 grid lines. Refer to long description.","(-8,0)","(-6,0)","(0,6)","(0,8)","$( - 8 , 0 )$","$( - 6 , 0 )$","$( 0 , 6 )$","$( 0 , 8 )$",D,,"Choice D is correct. The y-intercept of a graph in the xy-plane is the point at which the graph crosses the y-axis. The graph shown crosses the y-axis at the point 0,8. Therefore, the y-intercept of the graph shown is 0,8. Choice A is incorrect and may result from conceptual or calculation errors. Choice B is incorrect and may result from conceptual or calculation errors. Choice C is incorrect and may result from conceptual or calculation errors.","Choice D is correct. The y-intercept of a graph in the xy-plane is the point at which the graph crosses the y-axis. The graph shown crosses the y-axis at the point $\left(0 , 8\right)$. Therefore, the y-intercept of the graph shown is $\left(0 , 8\right)$. Choice A is incorrect and may result from conceptual or calculation errors. Choice B is incorrect and may result from conceptual or calculation errors. Choice C is incorrect and may result from conceptual or calculation errors."
Math,Advanced Math,Nonlinear functions,Easy,"The parabola shown intersects the y-axis at the point x,y. What is the value of y?","The parabola shown intersects the y-axis at the point $\left(x , y\right)$. What is the value of $y$?",Graph of a parabola in the x y plane with the origin labeled O. The x axis ranges from negative 2 to 2. The y axis ranges from negative 2 to 12. Refer to long description.,,,,,,,,,7,7,"The correct answer is 7. It's given that the parabola intersects the y-axis at the point x,y. The graph shows that the parabola intersects the y-axis at the point 0,7. Therefore, the value of y is 7.","The correct answer is $7$. It's given that the parabola intersects the y-axis at the point $\left(x , y\right)$. The graph shows that the parabola intersects the y-axis at the point $\left(0 , 7\right)$. Therefore, the value of $y$ is $7$."
Math,Advanced Math,Nonlinear functions,Easy,What is the y-intercept of the graph shown?,What is the y-intercept of the graph shown?,"Graph of a curve in the x y plane with the origin labeled O. The x axis ranges from negative 8 to 8 in increments of 1, with values marked every 2 grid lines. The y axis ranges from negative 10 to 1 in increments of 1. Refer to long description.","(0,-6)","(-6,0)","(0,0)","(-5,-5)","$( 0 , - 6 )$","$( - 6 , 0 )$","$( 0 , 0 )$","$( - 5 , - 5 )$",A,,"Choice A is correct. The y-intercept of a graph in the xy-plane is the point x,y on the graph where x=0. For the graph shown, at x=0, the corresponding value of y is -6. Therefore, the y-intercept of the graph shown is 0,-6. Choice B is incorrect and may result from conceptual errors. Choice C is incorrect and may result from conceptual errors. Choice D is incorrect and may result from conceptual errors.","Choice A is correct. The y-intercept of a graph in the xy-plane is the point $\left(x , y\right)$ on the graph where $x = 0$. For the graph shown, at $x = 0$, the corresponding value of y is $- 6$. Therefore, the y-intercept of the graph shown is $\left(0 , - 6\right)$. Choice B is incorrect and may result from conceptual errors. Choice C is incorrect and may result from conceptual errors. Choice D is incorrect and may result from conceptual errors."
Math,Advanced Math,Nonlinear functions,Easy,"During the first part of an experiment, a ball was launched from a 7-foot-tall platform. The graph shows the height y, in feet, of the ball x seconds after it was launched during the first part of the experiment. During the second part of the experiment, the ball was launched the same way, but from a platform that is 2 feet shorter than the first platform. Which of the following graphs could represent the height y, in feet, of the ball x seconds after it was launched during the second part of the experiment?","During the first part of an experiment, a ball was launched from a $7$-foot-tall platform. The graph shows the height $y$, in feet, of the ball $x$ seconds after it was launched during the first part of the experiment. During the second part of the experiment, the ball was launched the same way, but from a platform that is $2$ feet shorter than the first platform. Which of the following graphs could represent the height $y$, in feet, of the ball $x$ seconds after it was launched during the second part of the experiment?",Graph of a parabola in the x y plane with the origin labeled O. The x axis ranges from 0 to 2. The y axis ranges from 0 to 16. Refer to long description.,*{stroke-linecap:butt;stroke-linejoin:round;} The parabola opens downward. The vertex is at the approximate point (0.3 comma 5.0). The parabola passes through the following points: approximately (0 comma 3.7) approximately (0.3 comma 5.0) approximately (0.6 comma 3.7),The parabola opens downward.,The vertex is at the approximate point (0.3 comma 5.0).,The parabola passes through the following points: approximately (0 comma 3.7) approximately (0.3 comma 5.0) approximately (0.6 comma 3.7),*{stroke-linecap:butt;stroke-linejoin:round;} The parabola opens downward. The vertex is at the approximate point (0.3 comma 5.0). The parabola passes through the following points: approximately (0 comma 3.7) approximately (0.3 comma 5.0) approximately (0.6 comma 3.7),The parabola opens downward.,The vertex is at the approximate point (0.3 comma 5.0).,The parabola passes through the following points: approximately (0 comma 3.7) approximately (0.3 comma 5.0) approximately (0.6 comma 3.7),B,,"Choice B is correct. It's given that y represents the height, in feet, of the ball x seconds after it was launched. It's also given that during the first part of an experiment, a ball was launched from a 7-foot-tall platform. Therefore, the y-coordinate of the y-intercept of the given graph, 7, represents the platform height, in feet. During the second part of the experiment, the platform the ball was launched from was 2 feet shorter than the platform in the first part of the experiment. It follows that the height of the platform in the second part of the experiment was 7-2 feet, or 5 feet. Therefore, the y-coordinate of the y-intercept of the graph representing the second part of the experiment must be 5. Only choice B satisfies this condition. Choice A is incorrect. This could represent the graph if the ball were launched from a platform that was about 3 feet shorter rather than 2 feet shorter. Choice C is incorrect. This could represent the graph if the ball were launched from a platform that was 2 feet taller rather than 2 feet shorter. Choice D is incorrect. This could represent the graph if the ball were launched from a platform that was twice as tall rather than 2 feet shorter.","Choice B is correct. It's given that $y$ represents the height, in feet, of the ball $x$ seconds after it was launched. It's also given that during the first part of an experiment, a ball was launched from a $7$-foot-tall platform. Therefore, the y-coordinate of the y-intercept of the given graph, $7$, represents the platform height, in feet. During the second part of the experiment, the platform the ball was launched from was $2$ feet shorter than the platform in the first part of the experiment. It follows that the height of the platform in the second part of the experiment was $7 - 2$ feet, or $5$ feet. Therefore, the y-coordinate of the y-intercept of the graph representing the second part of the experiment must be $5$. Only choice B satisfies this condition. Choice A is incorrect. This could represent the graph if the ball were launched from a platform that was about $3$ feet shorter rather than $2$ feet shorter. Choice C is incorrect. This could represent the graph if the ball were launched from a platform that was $2$ feet taller rather than $2$ feet shorter. Choice D is incorrect. This could represent the graph if the ball were launched from a platform that was twice as tall rather than $2$ feet shorter."
